Unnamed: 0,product_title,ships_from_to,grams,quality,btc_price,cost_per_gram,cost_per_gram_pure,escrow,vendor_name,successful_transactions,rating,ships_from,ships_to,ships_to_US,ships_from_US,ships_to_NL,ships_from_NL,ships_to_FR,ships_from_FR,ships_to_GB,ships_from_GB,ships_to_CA,ships_from_CA,ships_to_DE,ships_from_DE,ships_to_AU,ships_from_AU,ships_to_EU,ships_from_EU,ships_to_ES,ships_from_ES,ships_to_N. America,ships_from_N. America,ships_to_BE,ships_from_BE,ships_to_WW,ships_from_WW,ships_to_SI,ships_from_SI,ships_to_IT,ships_from_IT,ships_to_DK,ships_from_DK,ships_to_S. America,ships_from_S. America,ships_to_CH,ships_from_CH,ships_to_BR,ships_from_BR,ships_to_CZ,ships_from_CZ,ships_to_SE,ships_from_SE,ships_to_CO,ships_from_CO,ships_to_CN,ships_from_CN,ships_to_PL,ships_from_PL,ships_to_GR,ships_from_GR,usd_price,usd_price_per_gram,product_title_sentiment
3212,88%/95% Energy Control - 5 GR PERUVIAN COCAINE,DE  → WW,5.0,88.0,0.1706,0.03412,0.03877272727,1,thenotorious-de,110,4.84,DE,WW,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14736.108978,2947.2217956,0.0
3213,88%/95% Energy Control - 50 GR PERUVIAN COCAINE,DE  → WW,50.0,88.0,1.453,0.02906,0.03302272727,1,thenotorious-de,110,4.84,DE,WW,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,125507.42289000002,2510.1484578,0.0
3214,88%/95% Energy Control - 7 GR PERUVIAN COCAINE,DE  → WW,7.0,88.0,0.235,0.03357142857,0.03814935065,1,thenotorious-de,110,4.84,DE,WW,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20298.86055,2899.8372213051744,0.0
3222,8g Cocaine Pure Flakes 90%+,"FR  → FR, EU",8.0,90.0,0.336,0.042,0.04666666667,0,CocaColaFR,540,4.86,FR,"FR, EU",False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29023.051680000004,3627.8814600000005,0.21428571428571427
3227,8gr | Cocaine 88% Pure | PROMO SAMPLE SALE,"NL  → WW, EU",8.0,88.0,0.1803,0.0225375,0.02561079545,1,Redbull7,430,4.85,NL,"WW, EU",False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15573.976838999999,1946.7471048749999,0.21428571428571427
3234,90% UNCUT COCAINE *** 1 GRAM ***,"GB  → GB, EU",1.0,90.0,0.04109,0.04109,0.04565555556,1,High_Nation,110,5.0,GB,"GB, EU",False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3549.2773617000003,3549.2773617000003,-0.5
3236,92% Peruvian Flake Cocaine 0.5g,BE  → WW,0.5,92.0,0.02035,0.0407,0.04423913043,0,Foreigner,70,4.98,BE,WW,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1757.7949455,3515.589891,0.0
3237,92% Peruvian Flake Cocaine 1g,BE  → WW,1.0,92.0,0.0402,0.0402,0.04369565217,0,Foreigner,70,4.98,BE,WW,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3472.400826,3472.400826,0.0
3238,92% Peruvian Flake Cocaine 2g,BE  → WW,2.0,92.0,0.0782,0.0391,0.0425,0,Foreigner,70,4.98,BE,WW,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6754.769766000001,3377.3848830000006,0.0
3239,92% Peruvian Flake Cocaine 3g,BE  → WW,3.0,92.0,0.1159,0.03863333333,0.04199275362,0,Foreigner,70,4.98,BE,WW,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10011.225267000002,3337.075088712073,0.0
3240,92% Peruvian Flake Cocaine 5g,BE  → WW,5.0,92.0,0.1907,0.03814,0.04145652174,0,Foreigner,70,4.98,BE,WW,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16472.309391000003,3294.4618782000002,0.0
3241,92% Pure Peruvian Cocaine - 0.12g TBC Sampler,"GB  → WW, EU",0.12,92.0,0.00704,0.05866666667,0.06376811594,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,608.1020352,5067.516960287927,0.21428571428571427
3242,92% Pure Peruvian Cocaine - 0.25g - FREE POST,"GB  → WW, EU",0.25,92.0,0.01173,0.04692,0.051,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1013.2154649000001,4052.8618596000006,0.30714285714285716
3243,92% Pure Peruvian Cocaine - 1g - FREE POST,"GB  → WW, EU",1.0,92.0,0.0352,0.0352,0.03826086957,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3040.5101760000002,3040.5101760000002,0.30714285714285716
3244,92% Pure Peruvian Cocaine - 2g - FREE POST,"GB  → WW, EU",2.0,92.0,0.0763,0.03815,0.0414673913,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6590.6513190000005,3295.3256595000003,0.30714285714285716
3245,92% Pure Peruvian Cocaine - 3.5g - FREE POST,"GB  → WW, EU",3.5,92.0,0.1173,0.03351428571,0.03642857143,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10132.154649,2894.9013279155224,0.30714285714285716
3246,92% Pure Peruvian Crack Sampler 0.1g,"GB  → WW, EU",0.1,92.0,0.00704,0.0704,0.07652173913,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,608.1020352,6081.0203520000005,0.21428571428571427
3247,92% Pure Peruvian Crack Sampler 0.25g,"GB  → WW, EU",0.25,92.0,0.0132,0.0528,0.05739130435,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1140.1913160000001,4560.765264000001,0.21428571428571427
3248,92% Pure Peruvian Crack Sampler 0.5g,"GB  → WW, EU",0.5,92.0,0.02054,0.04108,0.04465217391,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1774.2067902000001,3548.4135804000002,0.21428571428571427
3249,92% Pure Peruvian Crack Sampler 1g,"GB  → WW, EU",1.0,92.0,0.0393,0.0393,0.0427173913,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3394.6605090000003,3394.6605090000003,0.21428571428571427
3250,92% Pure Peruvian Crack Sampler 5g,"GB  → WW, EU",5.0,92.0,0.167,0.0334,0.03630434783,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14425.147710000001,2885.029542,0.21428571428571427
3251,92% UNCUT COCAINE 10G [All orders sent in -24H],FR  → WW,10.0,92.0,0.3607,0.03607,0.03920652174,1,Johndelasvegas,140,4.83,FR,WW,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,31156.591491000003,3115.6591491,-0.5
3252,92% UNCUT COCAINE 1G [All orders sent in -24H],FR  → WW,1.0,92.0,0.0412,0.0412,0.0447826087,1,Johndelasvegas,140,4.83,FR,WW,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3558.778956,3558.778956,-0.5
3253,92% UNCUT COCAINE 20G [All orders sent in -24H],FR  → WW,20.0,92.0,0.67,0.0335,0.03641304348,1,Johndelasvegas,140,4.83,FR,WW,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,57873.347100000006,2893.6673550000005,-0.5
3254,92% UNCUT COCAINE 2G [All orders sent in -24H],FR  → WW,2.0,92.0,0.0747,0.03735,0.04059782609,0,Johndelasvegas,140,4.83,FR,WW,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6452.446311000001,3226.2231555000003,-0.5
3255,92% UNCUT COCAINE 50G [All orders sent in -24H],FR  → WW,50.0,92.0,1.546,0.03092,0.03360869565,1,Johndelasvegas,140,4.83,FR,WW,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,133540.58898,2670.8117796,-0.5
3256,92% UNCUT COCAINE 5G [All orders sent in -24H],FR  → WW,5.0,92.0,0.1855,0.0371,0.04032608696,0,Johndelasvegas,140,4.83,FR,WW,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16023.143115,3204.628623,-0.5
3257,94% PURE BOLIVIAN BRICK COCAINE - 0.12g SAMPLER,"GB  → WW, EU",0.12,94.0,0.00704,0.05866666667,0.06241134752,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,608.1020352,5067.516960287927,0.21428571428571427
3258,94% PURE BOLIVIAN BRICK COCAINE - 0.25g SAMPLER,"GB  → WW, EU",0.25,94.0,0.0129,0.0516,0.05489361702,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1114.277877,4457.111508,0.21428571428571427
3259,94% PURE BOLIVIAN BRICK COCAINE - 1g SAMPLER,"GB  → WW, EU",1.0,94.0,0.0381,0.0381,0.04053191489,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3291.006753,3291.006753,0.21428571428571427
3262,9g Cocaine Pure Flakes 90%+,"FR  → FR, EU",9.0,90.0,0.375,0.04166666667,0.0462962963,0,CocaColaFR,540,4.86,FR,"FR, EU",False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32391.79875,3599.0887502879273,0.21428571428571427
3265,9gr | Cocaine 88% Pure | PROMO SAMPLE SALE,"NL  → WW, EU",9.0,88.0,0.198,0.022,0.025,1,Redbull7,430,4.85,NL,"WW, EU",False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17102.869740000002,1900.31886,0.21428571428571427
3288,> KWIKDRUGS  - 0.75G COCAINE ROCKETFUEL87%,GB  → WW,0.75,87.0,0.0264,0.0352,0.04045977011,1,KwikDrugs,580,4.96,GB,WW,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2280.3826320000003,3040.5101760000002,0.0
3289,> KWIKDRUGS-0.25G COCAINE ROCKETFUEL87%,GB  → WW,0.25,87.0,0.01173,0.04692,0.05393103448,1,KwikDrugs,580,4.96,GB,WW,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1013.2154649000001,4052.8618596000006,0.0
3290,> KWIKDRUGS-0.5G COCAINE ROCKETFUEL87%,GB  → WW,0.5,87.0,0.0176,0.0352,0.04045977011,1,KwikDrugs,580,4.96,GB,WW,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1520.2550880000001,3040.5101760000002,0.0
3291,> KWIKDRUGS-14G COCAINE ROCKETFUEL87%,GB  → WW,14.0,87.0,0.3668,0.0262,0.03011494253,1,KwikDrugs,580,4.96,GB,WW,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,31683.498084000003,2263.107006,0.0
3292,> KWIKDRUGS-1G COCAINE ROCKETFUEL87%,GB  → WW,1.0,87.0,0.0352,0.0352,0.04045977011,1,KwikDrugs,580,4.96,GB,WW,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3040.5101760000002,3040.5101760000002,0.0
3293,> KWIKDRUGS-28G COCAINE ROCKETFUEL87%,GB  → WW,28.0,87.0,0.704,0.02514285714,0.0288998358,1,KwikDrugs,580,4.96,GB,WW,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,60810.20352,2171.792982610348,0.0
3294,> KWIKDRUGS-2G COCAINE ROCKETFUEL87%,GB  → WW,2.0,87.0,0.0645,0.03225,0.03706896552,1,KwikDrugs,580,4.96,GB,WW,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5571.389385,2785.6946925,0.0
3295,> KWIKDRUGS-3.5G COCAINE ROCKETFUEL87%,GB  → WW,3.5,87.0,0.1027,0.02934285714,0.033727422,1,KwikDrugs,580,4.96,GB,WW,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8871.033951000001,2534.5811286103485,0.0
3296,> KWIKDRUGS-7G COCAINE ROCKETFUEL87%,GB  → WW,7.0,87.0,0.1907,0.02724285714,0.0313136289,1,KwikDrugs,580,4.96,GB,WW,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16472.309391000003,2353.187055610348,0.0
3313,AMAZING COCAINE HQ 90%+   0.5g   £35 (SALE),"GB  → WW, GB",0.5,90.0,0.02054,0.04108,0.04564444444,1,onenation,1550,4.84,GB,"WW, GB",False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1774.2067902000001,3548.4135804000002,0.6000000000000001
3314,AMAZING COCAINE HQ 90%+++  0.2g   £20 (SALE),"GB  → WW, GB",0.2,90.0,0.01173,0.05865,0.06516666667,1,onenation,1550,4.84,GB,"WW, GB",False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1013.2154649000001,5066.0773245,0.6000000000000001
3315,AMAZING COCAINE HQ 90%+++  1g   £70 (SALE,"GB  → WW, GB",1.0,90.0,0.04109,0.04109,0.04565555556,1,onenation,1550,4.84,GB,"WW, GB",False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3549.2773617000003,3549.2773617000003,0.6000000000000001
3316,AMAZING COCAINE HQ 90%+++  1g   £70 (SALE),"GB  → WW, GB",1.0,90.0,0.04109,0.04109,0.04565555556,1,onenation,1550,4.84,GB,"WW, GB",False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3549.2773617000003,3549.2773617000003,0.6000000000000001
3360,BEST QUALITY COKE YOU EVER SEEN 90%+ PURITY 1g ###,IT  → WW,1.0,90.0,0.0412,0.0412,0.04577777778,1,AmmaccaBanane,11,5.0,IT,WW,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3558.778956,3558.778956,1.0
3361,BEST QUALITY COKE YOU EVER SEEN 90%+ PURITY 3g ###,IT  → WW,3.0,90.0,0.1082,0.03606666667,0.04007407407,1,AmmaccaBanane,11,5.0,IT,WW,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9346.113666000001,3115.371222287927,1.0
3371,Best in UK - Bolivian 94% Crack Cocaine 0.1g,"GB  → WW, EU",0.1,94.0,0.00704,0.0704,0.07489361702,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,608.1020352,6081.0203520000005,1.0
3372,Best in UK - Bolivian 94% Crack Cocaine 0.25g,"GB  → WW, EU",0.25,94.0,0.01173,0.04692,0.04991489362,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1013.2154649000001,4052.8618596000006,1.0
3373,Best in UK - Bolivian 94% Crack Cocaine 0.5g,"GB  → WW, EU",0.5,94.0,0.02348,0.04696,0.04995744681,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2028.1584924000001,4056.3169848000002,1.0
3374,Best in UK - Bolivian 94% Crack Cocaine 1g,"GB  → WW, EU",1.0,94.0,0.044,0.044,0.04680851064,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3800.63772,3800.63772,1.0
3375,Best in UK - Bolivian 94% Crack Cocaine 3.5g,"GB  → WW, EU",3.5,94.0,0.1614,0.04611428571,0.04905775076,1,thebestchemist,980,4.88,GB,"WW, EU",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13941.430182,3983.2657659155225,1.0
