product_title,ships_from_to,grams,quality,btc_price,cost_per_gram,cost_per_gram_pure,vendor_name,successful_transactions,rating,ships_from,ships_to,ships_to_US,ships_from_US,ships_to_NL,ships_from_NL,ships_to_FR,ships_from_FR,ships_to_GB,ships_from_GB,ships_to_CA,ships_from_CA,ships_to_DE,ships_from_DE,ships_to_AU,ships_from_AU,ships_to_EU,ships_from_EU,ships_to_ES,ships_from_ES,ships_to_N. America,ships_from_N. America,ships_to_BE,ships_from_BE,ships_to_WW,ships_from_WW,ships_to_SI,ships_from_SI,ships_to_IT,ships_from_IT,ships_to_DK,ships_from_DK,ships_to_S. America,ships_from_S. America,ships_to_CH,ships_from_CH,ships_to_BR,ships_from_BR,ships_to_CZ,ships_from_CZ,ships_to_SE,ships_from_SE,ships_to_CO,ships_from_CO,ships_to_CN,ships_from_CN,ships_to_PL,ships_from_PL,ships_to_GR,ships_from_GR,usd_price,vendor_performance
***Best Cocaine*** UNCUT 90% 10g,"DE  → DE, EU",10.0,90.0,0.2577,0.02577,0.02863333333,Barrio,100,5.0,DE,"DE, EU",False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
***Best Cocaine*** UNCUT 90% 1g,"DE  → DE, EU",1.0,90.0,0.0283,0.0283,0.03144444444,Barrio,100,5.0,DE,"DE, EU",False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
***Best Cocaine*** UNCUT 90% 50g,"DE  → DE, EU",50.0,90.0,1.288,0.02576,0.02862222222,Barrio,100,5.0,DE,"DE, EU",False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
***Best Cocaine*** UNCUT 90% 5g,"DE  → DE, EU",5.0,90.0,0.1288,0.02576,0.02862222222,Barrio,100,5.0,DE,"DE, EU",False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
**JULY 2017** 14G of MK1 (50%) *Columbiana,GB  → EU,14.0,50.0,0.2406,0.01718571429,0.03437142857,LONDON-UNDERGROUND,140,4.87,GB,EU,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
**JULY 2017** 1G of MK1 (50%) *Columbiana,GB  → EU,1.0,50.0,0.02054,0.02054,0.04108,LONDON-UNDERGROUND,140,4.87,GB,EU,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
**JULY 2017** 28G of MK1 (50%) *Columbiana,GB  → EU,28.0,50.0,0.466,0.01664285714,0.03328571429,LONDON-UNDERGROUND,140,4.87,GB,EU,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
**JULY 2017** 3.5G of MK1 (50%) *Columbiana,GB  → EU,3.5,50.0,0.0704,0.02011428571,0.04022857143,LONDON-UNDERGROUND,140,4.87,GB,EU,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
**JULY 2017** 7G of MK1 (50%) *Columbiana,GB  → EU,7.0,50.0,0.129,0.01842857143,0.03685714286,LONDON-UNDERGROUND,140,4.87,GB,EU,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
*Cocaine KTM Stamp 94% pure * 10gr  for 380 EUR,"NL  → WW, EU",10.0,94.0,0.1958,0.01958,0.02082978723,TheCoffeeShop,13,4.69,NL,"WW, EU",False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
